127.0.0.1, 2020-07-12 22:20:34, GET, /download/produtos.imagemdoproduto.a8f722026dcbbfda.696d616765732e6a7067.jpg, HTTP/1.1, 304, 0.047199
127.0.0.1, 2020-07-12 22:20:34, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.024142
127.0.0.1, 2020-07-12 22:20:34, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011066
127.0.0.1, 2020-07-12 22:20:38, GET, /vendas, HTTP/1.1, 200, 0.018398
127.0.0.1, 2020-07-12 22:20:38, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000406
127.0.0.1, 2020-07-12 22:20:38, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012262
127.0.0.1, 2020-07-12 22:20:38, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.021183
127.0.0.1, 2020-07-12 22:20:38, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.010346
127.0.0.1, 2020-07-12 22:20:38, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009429
127.0.0.1, 2020-07-12 22:20:39, GET, /cart_form.html, HTTP/1.1, 200, 0.017654
127.0.0.1, 2020-07-12 22:20:39, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000346
127.0.0.1, 2020-07-12 22:20:39, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.011205
127.0.0.1, 2020-07-12 22:20:39, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.024081
127.0.0.1, 2020-07-12 22:20:39, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012108
127.0.0.1, 2020-07-12 22:20:39, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.010656
127.0.0.1, 2020-07-12 22:20:46, POST, /cart_form.html, HTTP/1.1, 200, 0.018677
127.0.0.1, 2020-07-12 22:20:46, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000515
127.0.0.1, 2020-07-12 22:20:46, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012151
127.0.0.1, 2020-07-12 22:20:46, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.012186
127.0.0.1, 2020-07-12 22:20:46, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.011409
127.0.0.1, 2020-07-12 22:20:46, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.013204
